# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  15903  6425   0.29       0.36       0.67       0.77       2.84        -0.05   0.49   -1.69  
  15939  6459   0.33       0.34       0.77       0.8        3.2         0.03    0.55   -1.73  
  16065  6513   0.3        0.36       0.74       0.83       3.02        0.03    0.52   -1.82  
  16082  6531   0.34       0.42       0.71       0.8        2.39        0.07    0.43   -1.46  
  16132  6547   0.3        0.37       0.61       0.78       2.32        0.18    0.49   -1.04  
  16146  6578   0.33       0.4        0.66       0.74       2.3         -0.06   0.38   -1.54  
  16150  6514   0.38       0.42       0.82       1.01       2.44        0.1     0.44   -0.94  
  16160  6574   0.66       0.72       1.51       1.65       3.46        0.38    0.51   -1.66  
  16179  6565   0.17       0.18       0.37       0.4        2.79        0.0     0.5    -1.75  
  16274  6637   0.3        0.35       1.02       1.3        -Infinity   0.23    0.61   -1.64  
  16280  6655   0.3        0.35       0.94       1.02       3.02        0.19    0.58   -1.33  
  16281  6618   0.16       0.16       0.35       0.35       2.51        0.03    0.47   -1.7   
  16328  6675   0.46       0.41       0.85       0.98       2.32        0.05    0.46   -1.49  
  16338  6689   0.19       0.21       0.4        0.47       2.89        -0.01   0.56   -1.66  
  16428  6740   0.17       0.17       0.35       0.35       2.46        0.12    0.45   -1.53  
  16430  6736   0.22       0.23       0.46       0.49       2.57        0.05    0.46   -1.51  
  16437  6733   0.16       0.16       0.37       0.38       2.69        0.07    0.52   -1.53  
  16444  6749   0.18       0.19       0.4        0.41       2.76        0.06    0.49   -1.69  
  16486  6757   0.66       0.9        1.36       2.09       2.39        -0.29   0.44   -1.53  
  16490  6774   0.2        0.21       0.42       0.45       2.69        0.05    0.49   -1.54  
  16527  6752   0.21       0.24       0.42       0.48       2.44        -0.03   0.41   -1.38  
  16586  6831   0.48       0.59       1.03       1.47       3.52        0.19    0.49   -1.04  
  16601  6845   0.19       0.2        0.41       0.43       2.59        -0.01   0.47   -1.67  
  16604  6842   0.23       0.26       0.51       0.58       2.83        0.04    0.5    -1.71  
  16629  6772   0.31       0.36       0.66       0.78       2.73        0.22    0.48   -1.63  
  16641  6891   0.27       0.32       0.55       0.65       2.39        0.06    0.44   -1.43  
  16732  6847   0.23       0.26       0.52       0.57       2.61        -0.0    0.47   -1.65  
